title,year_aired,status,episodes,image_url,profile_url,studio,source,theme,demographic,ratings,fanbase
Tokyo Ghoul √A,2015,Finished,12,https://cdn.myanimelist.net/images/anime/1889/123307.jpg,https://myanimelist.net/anime/27899/Tokyo_Ghoul_√A,Studio Pierrot,Manga,"Gore,Psychological,Urban Fantasy",Seinen,7.03,1.9M
Boku no Hero Academia 4th Season,2019,Finished,25,https://cdn.myanimelist.net/images/anime/1412/107914.jpg,https://myanimelist.net/anime/38408/Boku_no_Hero_Academia_4th_Season,Bones,Manga,"School,Super Power",Shounen,7.86,1.9M
Black Clover,2017,Finished,170,https://cdn.myanimelist.net/images/anime/2/88336.jpg,https://myanimelist.net/anime/34572/Black_Clover,Studio Pierrot,Manga,Shounen,,8.14,1.8M
Chainsaw Man,2022,Finished,12,https://cdn.myanimelist.net/images/anime/1806/126216.jpg,https://myanimelist.net/anime/44511/Chainsaw_Man,MAPPA,Manga,"Gore,Urban Fantasy",Shounen,8.44,1.8M
One Punch Man 2nd Season,2019,Finished,12,https://cdn.myanimelist.net/images/anime/1247/122044.jpg,https://myanimelist.net/anime/34134/One_Punch_Man_2nd_Season,J.C.Staff,Web manga,"Adult Cast,Parody,Super Power",Seinen,7.54,1.8M
Fairy Tail,2009,Finished,175,https://cdn.myanimelist.net/images/anime/5/18179.jpg,https://myanimelist.net/anime/6702/Fairy_Tail,A-1 Pictures,Manga,Shounen,,7.57,1.8M
Kill la Kill,2013,Finished,24,https://cdn.myanimelist.net/images/anime/1464/111943.jpg,https://myanimelist.net/anime/18679/Kill_la_Kill,Trigger,Original,"School,Urban Fantasy",,8.03,1.8M
Spy x Family,2022,Finished,12,https://cdn.myanimelist.net/images/anime/1441/122795.jpg,https://myanimelist.net/anime/50265/Spy_x_Family,CloverWorks,Manga,"Childcare,Super Power",Shounen,8.44,1.8M
JoJo no Kimyou na Bouken (TV),2012,Finished,26,https://cdn.myanimelist.net/images/anime/3/40409.jpg,https://myanimelist.net/anime/14719/JoJo_no_Kimyou_na_Bouken_TV,David Production,Manga,"Historical,Vampire",Shounen,7.87,1.8M
Vinland Saga,2019,Finished,24,https://cdn.myanimelist.net/images/anime/1500/103005.jpg,https://myanimelist.net/anime/37521/Vinland_Saga,Wit Studio,Manga,"Gore,Historical",Seinen,8.77,1.7M
Soul Eater,2008,Finished,51,https://cdn.myanimelist.net/images/anime/1071/149486.jpg,https://myanimelist.net/anime/3588/Soul_Eater,Bones,Manga,School,Shounen,7.85,1.7M
Tate no Yuusha no Nariagari,2019,Finished,25,https://cdn.myanimelist.net/images/anime/1490/101365.jpg,https://myanimelist.net/anime/35790/Tate_no_Yuusha_no_Nariagari,Kinema Citrus,Light novel,Isekai,,7.91,1.7M
Psycho-Pass,2012,Finished,22,https://cdn.myanimelist.net/images/anime/1314/142015.jpg,https://myanimelist.net/anime/13601/Psycho-Pass,Production I.G,Original,"Adult Cast,Detective,Psychological",,8.33,1.7M
Kimetsu no Yaiba Movie: Mugen Ressha-hen,2020,Finished,1,https://cdn.myanimelist.net/images/anime/1704/106947.jpg,https://myanimelist.net/anime/40456/Kimetsu_no_Yaiba_Movie__Mugen_Ressha-hen,ufotable,Manga,Historical,Shounen,8.55,1.7M
Overlord,2015,Finished,13,https://cdn.myanimelist.net/images/anime/1945/136600.jpg,https://myanimelist.net/anime/29803/Overlord,Madhouse,Light novel,Isekai,,7.90,1.7M
Mob Psycho 100 II,2019,Finished,13,https://cdn.myanimelist.net/images/anime/1918/96303.jpg,https://myanimelist.net/anime/37510/Mob_Psycho_100_II,Bones,Web manga,,,8.78,1.7M
Kimetsu no Yaiba: Yuukaku-hen,2021,Finished,11,https://cdn.myanimelist.net/images/anime/1908/120036.jpg,https://myanimelist.net/anime/47778/Kimetsu_no_Yaiba__Yuukaku-hen,ufotable,Manga,Historical,Shounen,8.71,1.7M
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,2015,Finished,13,https://cdn.myanimelist.net/images/anime/1172/148981.jpg,https://myanimelist.net/anime/28121/Dungeon_ni_Deai_wo_Motomeru_no_wa_Machigatteiru_Darou_ka,J.C.Staff,Light novel,,,7.53,1.6M
Tensei shitara Slime Datta Ken,2018,Finished,24,https://cdn.myanimelist.net/images/anime/1069/123309.jpg,https://myanimelist.net/anime/37430/Tensei_shitara_Slime_Datta_Ken,8bit,Manga,"Isekai,Reincarnation",Shounen,8.13,1.6M
Elfen Lied,2004,Finished,13,https://cdn.myanimelist.net/images/anime/1780/121555.jpg,https://myanimelist.net/anime/226/Elfen_Lied,Arms,Manga,"Gore,Psychological,Super Power",Seinen,7.46,1.6M
Highschool of the Dead,2010,Finished,12,https://cdn.myanimelist.net/images/anime/11/78311.jpg,https://myanimelist.net/anime/8074/Highschool_of_the_Dead,Madhouse,Manga,"Gore,Survival",Shounen,7.06,1.6M
Fate/Zero,2011,Finished,13,https://cdn.myanimelist.net/images/anime/1887/117644.jpg,https://myanimelist.net/anime/10087/Fate_Zero,ufotable,Light novel,Urban Fantasy,,8.27,1.6M
Fullmetal Alchemist,2003,Finished,51,https://cdn.myanimelist.net/images/anime/10/75815.jpg,https://myanimelist.net/anime/121/Fullmetal_Alchemist,Bones,Manga,Military,Shounen,8.11,1.5M
Noragami Aragoto,2015,Finished,13,https://cdn.myanimelist.net/images/anime/1689/94850.jpg,https://myanimelist.net/anime/30503/Noragami_Aragoto,Bones,Manga,Mythology,Shounen,8.14,1.5M
Ansatsu Kyoushitsu 2nd Season,2016,Finished,25,https://cdn.myanimelist.net/images/anime/8/77966.jpg,https://myanimelist.net/anime/30654/Ansatsu_Kyoushitsu_2nd_Season,Lerche,Manga,School,Shounen,8.47,1.5M
Bungou Stray Dogs,2016,Finished,12,https://cdn.myanimelist.net/images/anime/3/79409.jpg,https://myanimelist.net/anime/31478/Bungou_Stray_Dogs,Bones,Manga,"Adult Cast,Detective,Organized Crime,Super Power",Seinen,7.80,1.5M
High School DxD,2012,Finished,12,https://cdn.myanimelist.net/images/anime/1331/111940.jpg,https://myanimelist.net/anime/11617/High_School_DxD,TNK,Light novel,"Harem,Mythology,School",,7.32,1.5M
Shingeki no Kyojin: The Final Season Part 2,2022,Finished,12,https://cdn.myanimelist.net/images/anime/1948/120625.jpg,https://myanimelist.net/anime/48583/Shingeki_no_Kyojin__The_Final_Season_Part_2,MAPPA,Manga,"Gore,Military,Survival",Shounen,8.77,1.5M
Enen no Shouboutai,2019,Finished,24,https://cdn.myanimelist.net/images/anime/1664/103275.jpg,https://myanimelist.net/anime/38671/Enen_no_Shouboutai,David Production,Manga,Urban Fantasy,Shounen,7.72,1.5M
Durarara!!,2010,Finished,24,https://cdn.myanimelist.net/images/anime/10/71772.jpg,https://myanimelist.net/anime/6746/Durarara,Brain's Base,Light novel,,,8.09,1.5M
Owari no Seraph,2015,Finished,12,https://cdn.myanimelist.net/images/anime/1879/148979.jpg,https://myanimelist.net/anime/26243/Owari_no_Seraph,Wit Studio,Manga,"Military,Vampire",Shounen,7.49,1.4M
Tokyo Revengers,2021,Finished,24,https://cdn.myanimelist.net/images/anime/1839/122012.jpg,https://myanimelist.net/anime/42249/Tokyo_Revengers,LIDENFILMS,Manga,"Delinquents,Time Travel",Shounen,7.84,1.4M
Mononoke Hime,1997,Finished,1,https://cdn.myanimelist.net/images/anime/1355/147277.jpg,https://myanimelist.net/anime/164/Mononoke_Hime,Studio Ghibli,Original,,,8.67,1.4M
Dororo,2019,Finished,24,https://cdn.myanimelist.net/images/anime/1879/100467.jpg,https://myanimelist.net/anime/37520/Dororo,MAPPA,Manga,"Historical,Mythology,Samurai",Shounen,8.26,1.3M
JoJo no Kimyou na Bouken Part 3: Stardust Crusaders,2014,Finished,24,https://cdn.myanimelist.net/images/anime/11/55267.jpg,https://myanimelist.net/anime/20899/JoJo_no_Kimyou_na_Bouken_Part_3__Stardust_Crusaders,David Production,Manga,Super Power,Shounen,8.11,1.3M
Samurai Champloo,2004,Finished,26,https://cdn.myanimelist.net/images/anime/1370/135212.jpg,https://myanimelist.net/anime/205/Samurai_Champloo,Manglobe,Original,"Historical,Samurai",,8.52,1.3M
Boku no Hero Academia 5th Season,2021,Finished,25,https://cdn.myanimelist.net/images/anime/1911/113611.jpg,https://myanimelist.net/anime/41587/Boku_no_Hero_Academia_5th_Season,Bones,Manga,"School,Super Power",Shounen,7.35,1.3M
Dragon Ball Z,1989,Finished,291,https://cdn.myanimelist.net/images/anime/1277/142022.jpg,https://myanimelist.net/anime/813/Dragon_Ball_Z,Toei Animation,Manga,Martial Arts,Shounen,8.20,1.3M
Deadman Wonderland,2011,Finished,12,https://cdn.myanimelist.net/images/anime/9/75299.jpg,https://myanimelist.net/anime/6880/Deadman_Wonderland,Manglobe,Manga,"Gore,High Stakes Game,Survival",Shounen,7.13,1.3M
Tokyo Ghoul:re,2018,Finished,12,https://cdn.myanimelist.net/images/anime/1063/95086.jpg,https://myanimelist.net/anime/36511/Tokyo_Ghoul_re,Studio Pierrot,Manga,"Gore,Psychological,Urban Fantasy",Seinen,6.37,1.3M
Jujutsu Kaisen 2nd Season,2023,Finished,23,https://cdn.myanimelist.net/images/anime/1792/138022.jpg,https://myanimelist.net/anime/51009/Jujutsu_Kaisen_2nd_Season,MAPPA,Manga,"Gore,School",Shounen,8.73,1.3M
Kuroshitsuji,2008,Finished,24,https://cdn.myanimelist.net/images/anime/1467/137783.jpg,https://myanimelist.net/anime/4898/Kuroshitsuji,A-1 Pictures,Manga,"Historical,Mythology",Shounen,7.65,1.3M
Devilman: Crybaby,2018,Finished,10,https://cdn.myanimelist.net/images/anime/2/89973.jpg,https://myanimelist.net/anime/35120/Devilman__Crybaby,Science SARU,Manga,"Gore,Mythology",Shounen,7.74,1.2M
Kyoukai no Kanata,2013,Finished,12,https://cdn.myanimelist.net/images/anime/3/85468.jpg,https://myanimelist.net/anime/18153/Kyoukai_no_Kanata,Kyoto Animation,Light novel,School,,7.71,1.2M
JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,2016,Finished,39,https://cdn.myanimelist.net/images/anime/3/79156.jpg,https://myanimelist.net/anime/31933/JoJo_no_Kimyou_na_Bouken_Part_4__Diamond_wa_Kudakenai,David Production,Manga,Super Power,Shounen,8.50,1.2M
JoJo no Kimyou na Bouken Part 3: Stardust Crusaders - Egypt-hen,2015,Finished,24,https://cdn.myanimelist.net/images/anime/11/75045.jpg,https://myanimelist.net/anime/26055/JoJo_no_Kimyou_na_Bouken_Part_3__Stardust_Crusaders_-_Egypt-hen,David Production,Manga,Super Power,Shounen,8.44,1.2M
